Algoritmo;Access Crescente;Access Decrescente;Data Aleatoria
Selection;4.28648210;4.03660631;3.02770209
Selection;3.74529767;3.75551081;3.51616883
Selection;3.93484855;3.93547297;3.56515193
Selection;3.93801570;3.93261290;3.38754058
Selection;3.74330878;3.74707580;3.01719332
Selection;3.93285155;3.93422484;3.56414890
Selection;3.93649435;3.93454289;3.55620718
Selection;3.92972565;3.74429011;2.93258452
Selection;3.73107624;3.85799885;3.55518365
Selection;3.93061042;3.93449998;3.55555844
Quick;0.01395726;0.01331758;0.01547122
Quick;0.01423001;0.01335144;0.01549363
Quick;0.01375413;0.01331997;0.01544738
Quick;0.01402164;0.01334643;0.01607370
Quick;0.01368785;0.01332235;0.01546669
Quick;0.01400471;0.01332855;0.01548672
Quick;0.01371670;0.01332068;0.01543927
Quick;0.01399088;0.01332235;0.01547885
Quick;0.01369143;0.01333404;0.01546526
Quick;0.01525807;0.01337981;0.01551342
Merge;0.02238321;0.02196932;0.02181768
Merge;0.02232528;0.02196193;0.02178717
Merge;0.02233267;0.02196002;0.02180290
Merge;0.02234077;0.02196836;0.02178979
Merge;0.02231956;0.02195311;0.02176332
Merge;0.02232027;0.02229190;0.02174115
Merge;0.02245378;0.02197337;0.02176738
Merge;0.02264166;0.02195954;0.02182412
Merge;0.02238703;0.02197051;0.02180171
Merge;0.02232528;0.02198529;0.02182007
Cocktail;29.30725002;29.80427718;27.20103765
Cocktail;29.55282187;29.92716146;26.86475396
Cocktail;29.95958734;29.61053419;27.06392813
Cocktail;29.94764853;29.31935930;27.40065217
Cocktail;29.73400784;29.30500889;27.83254313
Cocktail;29.19540453;29.19067788;27.81071734
Cocktail;29.20211339;29.19601107;27.83221579
Cocktail;29.18889832;29.19555378;27.84298587
Cocktail;29.27408195;29.19310474;27.82360005
Cocktail;29.24109459;29.51660681;27.50255513
Bubble;7.79716897;7.79048991;6.63164639
Bubble;7.38913035;7.58564663;7.08214951
Bubble;7.82537889;8.06918502;6.99960089
Bubble;8.14340925;8.81863642;6.97783589
Bubble;8.60670948;8.57736778;6.91622305
Bubble;8.44090033;9.37542248;8.62531805
Bubble;8.44231319;9.31122375;7.44399738
Bubble;8.08769441;8.09787273;6.33800697
Bubble;8.22908902;9.11432648;8.90947914
Bubble;7.91997981;8.03758073;6.64465261
Insertion;0.00125647;0.00117970;0.00118470
Insertion;0.00121164;0.00116992;0.00113797
Insertion;0.00127649;0.00118852;0.00115585
Insertion;0.00134349;0.00127268;0.00159144
Insertion;0.00124264;0.00120425;0.00116682
Insertion;0.00126410;0.00120068;0.00116396
Insertion;0.00127411;0.00118732;0.00115108
Insertion;0.00119162;0.00126171;0.00142264
Insertion;0.00139403;0.00122237;0.00121903
Insertion;0.00134230;0.00118375;0.00116539
Python;0.00016999;0.00017858;0.00012898
Python;0.00016856;0.00016546;0.00009441
Python;0.00017929;0.00016475;0.00010753
Python;0.00027680;0.00028086;0.00010610
Python;0.00018811;0.00017118;0.00010347
Python;0.00019860;0.00017190;0.00010610
Python;0.00019121;0.00017977;0.00009608
Python;0.00018811;0.00016522;0.00010610
Python;0.00019360;0.00018430;0.00009537
Python;0.00019050;0.00016618;0.00009346
Gnome;0.00094914;0.00092125;0.00086832
Gnome;0.00138927;0.00090218;0.00104141
Gnome;0.00103974;0.00095487;0.00088334
Gnome;0.00092411;0.00095582;0.00088573
Gnome;0.00099993;0.00090122;0.00090122
Gnome;0.00110412;0.00097752;0.00114727
Gnome;0.00099540;0.00094962;0.00095654
Gnome;0.00146914;0.00103688;0.00094223
Gnome;0.00119400;0.00094724;0.00104809
Gnome;0.00096607;0.00097966;0.00090837
