Acession;Virus;Genotype;Country;Date;Size
AB111448;Dengue Serotype 2;Genotype II - Cosmopolitan;Indonesia;1994;1485
AB111449;Dengue Serotype 2;Genotype II - Cosmopolitan;India;1996;1485
AB111450;Dengue Serotype 2;Genotype II - Cosmopolitan;East Timor;2000;1485
AB111451;Dengue Serotype 2;Genotype II - Cosmopolitan;Philippines;2000;1485
AB111453;Dengue Serotype 2;Genotype II - Cosmopolitan;Indonesia;2001;1485
AB111454;Dengue Serotype 2;Genotype II - Cosmopolitan;Philippines;2001;1485
AB122020;Dengue Serotype 2;Genotype III - Southern Asian-American;Dominican Republic;2001;10723
AB122021;Dengue Serotype 2;Genotype III - Southern Asian-American;Dominican Republic;2001;10723
AB122022;Dengue Serotype 2;Genotype III - Southern Asian-American;Dominican Republic;2001;10723
AB180478;Dengue Serotype 2;Genotype II - Cosmopolitan;Indonesia;2004;1485
AB189122;Dengue Serotype 2;Genotype II - Cosmopolitan;Indonesia;1998;10723
AB189123;Dengue Serotype 2;Genotype II - Cosmopolitan;Indonesia;1998;10723
AB189124;Dengue Serotype 2;Genotype II - Cosmopolitan;Indonesia;1998;10723
AB194882;Dengue Serotype 2;Genotype V - Asian I;Thailand;2004;1485
AB194883;Dengue Serotype 2;Genotype II - Cosmopolitan;Sri Lanka;2004;1485
AB194884;Dengue Serotype 2;Genotype II - Cosmopolitan;Philippines;2004;1485
AB194885;Dengue Serotype 2;Genotype II - Cosmopolitan;Nepal;2004;1097
AB219135;Dengue Serotype 2;Genotype II - Cosmopolitan;East Timor;2005;1485
AB479042;Dengue Serotype 2;Genotype III - Southern Asian-American;Viet Nam;2002;10647
AB545873;Dengue Serotype 2;Genotype III - Southern Asian-American;Jamaica;2007;1485
AB545874;Dengue Serotype 2;Genotype II - Cosmopolitan;Maldives;2008;1485
AB622002;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622003;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622004;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622005;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622006;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622007;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622008;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622009;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622010;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622011;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622012;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622013;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622014;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622015;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622016;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622017;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622018;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622019;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622020;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622021;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622022;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622023;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622024;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622025;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622026;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622027;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622028;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622029;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622030;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622031;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622032;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622033;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622034;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622035;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622036;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622037;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622038;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622039;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622040;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622041;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622042;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622043;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622044;Dengue Serotype 2;Could not assign;Thailand;2010;300
AB622045;Dengue Serotype 2;Could not assign;Thailand;2010;300
